answer	path	n
choke	[('soare', '01002', 20), ('pling', '00000', 3), ('abcee', '00102', 1), ('choke', '22222', 1)]	4
rupee	[('soare', '00012', 39), ('pudic', '12000', 1), ('rupee', '22222', 1)]	3
nasty	[('soare', '10100', 23), ('linty', '00122', 1), ('nasty', '22222', 1)]	3
mourn	[('soare', '02020', 6), ('almud', '00110', 1), ('mourn', '22222', 1)]	3
ahead	[('soare', '00101', 68), ('canal', '01020', 1), ('ahead', '22222', 1)]	3
brine	[('soare', '00012', 39), ('pudic', '00010', 7), ('timbo', '01010', 1), ('brine', '22222', 1)]	4
cloth	[('soare', '01000', 56), ('clint', '22001', 1), ('cloth', '22222', 1)]	3
hoard	[('soare', '02220', 2), ('aahed', '10102', 1), ('hoard', '22222', 1)]	3
sweet	[('soare', '20001', 35), ('clipt', '00002', 2), ('aahed', '00020', 1), ('sweet', '22222', 1)]	4
month	[('soare', '02000', 87), ('culty', '00020', 4), ('abmho', '00111', 1), ('month', '22222', 1)]	4
lapse	[('soare', '10102', 15), ('thump', '00001', 1), ('lapse', '22222', 1)]	3
watch	[('soare', '00100', 138), ('clint', '10001', 6), ('bumpy', '00000', 2), ('ablow', '10001', 1), ('watch', '22222', 1)]	5
